iso_week,week_start,week_end,sales,inventory,eom_intensity,gasregw,umcsent,search,display,social,pmax,fp_emails_sent,ott_cable,broadcast_audio,print,youtube,facebook_reels,facebook_add,direct_mail,broadcast_tv
32,8/5/2024,8/11/2024,13.0,246.1,0.0,$3.45,67.9,$747.08,$199.93,$418.86,0,0,$0.00,"$1,846.15",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
33,8/12/2024,8/18/2024,12.0,238.1,0.0,$3.41,67.9,$781.50,$146.50,$402.68,0,0,$0.00,"$1,846.15",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
34,8/19/2024,8/25/2024,12.0,236.7,0.0,$3.38,67.9,$932.17,$147.70,$351.18,0,0,$0.00,"$2,461.54",$750.00,$0.00,$0.00,$0.00,$0.00,$0.00
35,8/26/2024,9/1/2024,17.0,230.6,1.0357,$3.31,67.9,$896.03,$208.45,$497.15,0,0,$0.00,"$1,846.15",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
36,9/2/2024,9/8/2024,11.0,222.3,0.0,$3.29,70.1,$799.23,$138.07,$419.77,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
37,9/9/2024,9/15/2024,18.0,212.4,0.0,$3.24,70.1,$315.10,$191.70,$613.02,0,0,$0.00,"$2,916.67",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
38,9/16/2024,9/22/2024,15.0,204.3,0.0,$3.18,70.1,$557.44,$162.34,$829.88,0,0,$0.00,"$2,333.33",$0.00,$0.00,$0.00,$0.00,"$5,400.00",$0.00
39,9/23/2024,9/29/2024,16.0,200.4,0.6429,$3.19,70.1,$854.98,$230.89,$785,0,0,$0.00,"$1,750.00",$750.00,$0.00,$0.00,$0.00,$0.00,$0.00
40,9/30/2024,10/6/2024,11.0,192.3,0.2857,$3.18,70.1,$595.86,$125.35,$625.99,0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
41,10/7/2024,10/13/2024,18.0,189.7,0.0,$3.14,70.5,$866.03,$21.82,$503.03,0,"26,857",$0.00,$0.00,$203.33,$0.00,$0.00,$0.00,"$9,575.00",$0.00
42,10/14/2024,10/20/2024,24.0,174.6,0.0,$3.17,70.5,$925.60,$153.01,$402.70,$0.00,"52,403",$0.00,$0.00,$406.67,$0.00,$0.00,$0.00,$0.00,$0.00
43,10/21/2024,10/27/2024,13.0,163.3,0.3571,$3.14,70.5,$639.60,$263.38,$547.65,$0.00,"36,226",$0.00,$0.00,"$1,156.67",$0.00,$0.00,$0.00,$0.00,$0.00
44,10/28/2024,11/3/2024,17.0,183.4,0.75,$3.10,70.5,$894.33,$271.92,$537.95,0,"22,587",$0.00,$0.00,$203.33,$0.00,$0.00,$0.00,$0.00,$0.00
45,11/4/2024,11/10/2024,12.0,182.0,0.0,$3.07,71.8,$771.75,$67.14,$570.97,0,"17,418",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
46,11/11/2024,11/17/2024,16.0,179.4,0.0,$3.05,71.8,$898.33,0,$515.40,0,"23,854","$1,142.86",$0.00,$0.00,$0.00,$0.00,$0.00,"$8,000.00",$0.00
47,11/18/2024,11/24/2024,10.0,181.1,0.0,$3.05,71.8,"$1,225.08",0,$231.75,0,"11,570","$1,428.57",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
48,11/25/2024,12/1/2024,12.0,200.3,1.0357,$3.04,71.8,"$1,045.59",0,$555.43,0,"20,885","$1,428.57",$0.00,$750.00,$0.00,$0.00,$0.00,$0.00,$0.00
49,12/2/2024,12/8/2024,5.0,201.9,0.0,$3.03,74.0,$844.51,$0,$469,0,"16,911",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
50,12/9/2024,12/15/2024,10.0,201.4,0.0,$3.01,74.0,$711.11,0,$631.32,0,"25,666",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
51,12/16/2024,12/22/2024,12.0,198.6,0.0,$3.02,74.0,"$1,053.18",0,$314.19,0,"26,628",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,538.00",$0.00
52,12/23/2024,12/29/2024,18.0,193.4,0.6429,$3.02,74.0,"$1,195.85",0,$468.37,0,"19,824",$0.00,$0.00,$750.00,$0.00,$0.00,$0.00,$0.00,$0.00
1,12/30/2024,1/5/2025,18.0,184.4,0.4643,$3.01,74.0,$926.75,0,$414.80,0,"19,129",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
2,1/6/2025,1/12/2025,13.0,178.4,0.0,$3.05,71.7,$946.87,$0.00,$540.39,0,"14,828",$340.91,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
