iso_week,week_start,week_end,sales,inventory,eom_intensity,gasregw,umcsent,search,display,social,pmax,fp_emails_sent,TV_WTAE,TV_WPXI,TV_WPGH,TV_KDKA,ott_cable,broadcast_audio,facebook_reels,facebook_add,youtube,print,direct_mail,broadcast_tv
32,2024-08-05,8/11/2024,7,149.86,0.0,3.45,67.9,567.69,46.45,335.22,0.0,0.0,$0.00,$0.00,$0.00,$0.00,0.0,1625.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2024-08-12,8/18/2024,5,149.43,0.0,3.41,67.9,574.29,119.86,332.97,0.0,0.0,$0.00,$0.00,$0.00,$0.00,0.0,2708.33,0.0,0.0,0.0,0.0,0.0,0.0
34,2024-08-19,8/25/2024,4,153.86,0.0,3.38,67.9,599.49,21.39,400.27,0.0,0.0,$0.00,$0.00,$0.00,$0.00,0.0,2166.67,0.0,0.0,0.0,750.0,0.0,0.0
35,2024-08-26,9/1/2024,5,152.71,1.0357,3.31,67.9,794.58,17.13,394.26,0.0,0.0,$0.00,$0.00,$0.00,$0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2024-09-02,9/8/2024,4,148.57,0.0,3.29,70.1,628.37,26.84,340.2,0.0,0.0,$0.00,$0.00,$0.00,$0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2024-09-09,9/15/2024,4,146.29,0.0,3.24,70.1,630.6,63.31,441.24,0.0,0.0,$0.00,$0.00,$0.00,$0.00,0.0,2291.67,0.0,0.0,0.0,0.0,0.0,0.0
38,2024-09-16,9/22/2024,5,139.71,0.0,3.18,70.1,748.26,202.02,414.05,0.0,0.0,$0.00,$0.00,$0.00,$0.00,0.0,1833.33,0.0,0.0,0.0,750.0,3240.0,0.0
39,2024-09-23,9/29/2024,10,134.29,0.6429,3.19,70.1,886.21,249.63,366.0,0.0,0.0,$0.00,$0.00,$0.00,$0.00,0.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2024-09-30,10/6/2024,4,130.43,0.2857,3.18,70.1,561.33,170.04,361.91,0.0,0.0,$0.00,$0.00,$0.00,$0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2024-10-07,10/13/2024,9,125.86,0.0,3.14,70.5,693.32,180.21,321.0,0.0,0.0,$0.00,$0.00,$0.00,$0.00,0.0,0.0,0.0,0.0,0.0,610.0,3125.0,0.0
