iso_week,week_start,week_end,sales,inventory,eom_intensity,gasregw,umcsent,search,display,social,pmax,fp_emails_sent,TV_WTAE,TV_WPXI,TV_WPGH,TV_KDKA,ott_cable,broadcast_audio,facebook_reels,facebook_add,youtube,print,direct_mail,autotrader_srps,truecar_srps
32,8/5/2024,8/11/2024,7.0,149.86,0.0,$3.45,67.9,$567.69,$46.45,$335.22,,0,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,625.00",$0.00,$0.00,$0.00,$0.00,$0.00,"14,261",0
33,8/12/2024,8/18/2024,5.0,149.43,0.0,$3.41,67.9,$574.29,$119.86,$332.97,,0,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,708.33",$0.00,$0.00,$0.00,$0.00,$0.00,"11,673",0
34,8/19/2024,8/25/2024,4.0,153.86,0.0,$3.38,67.9,$599.49,$21.39,$400.27,,0,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,166.67",$0.00,$0.00,$0.00,$750.00,$0.00,"11,380",0
35,8/26/2024,9/1/2024,5.0,152.71,1.0357,$3.31,67.9,$794.58,$17.13,$394.26,,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"12,547",0
36,9/2/2024,9/8/2024,4.0,148.57,0.0,$3.29,70.1,$628.37,$26.84,$340.20,,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"10,929",0
37,9/9/2024,9/15/2024,4.0,146.29,0.0,$3.24,70.1,$630.60,$63.31,$441.24,,0,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,291.67",$0.00,$0.00,$0.00,$0.00,$0.00,"13,737",0
38,9/16/2024,9/22/2024,5.0,139.71,0.0,$3.18,70.1,$748.26,$202.02,$414.05,,0,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,833.33",$0.00,$0.00,$0.00,$750.00,"$3,240.00","15,451",0
39,9/23/2024,9/29/2024,10.0,134.29,0.6429,$3.19,70.1,$886.21,$249.63,$366,,0,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,375.00",$0.00,$0.00,$0.00,$0.00,$0.00,"15,952",0
40,9/30/2024,10/6/2024,4.0,130.43,0.2857,$3.18,70.1,$561.33,$170.04,$361.91,,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"16,218",0
41,10/7/2024,10/13/2024,9.0,125.86,0.0,$3.14,70.5,$693.32,$180.21,$321.00,,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$610.00,"$3,125.00","11,731",0
42,10/14/2024,10/20/2024,8.0,118.0,0.0,$3.17,70.5,$739.52,$201.55,$288.30,,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$1,055.00","$4,000.00","11,666",0
43,10/21/2024,10/27/2024,4.0,112.0,0.3571,$3.14,70.5,$834.91,$179.91,$318.75,,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$305.00,$0.00,"9,110",0
44,10/28/2024,11/3/2024,5.0,111.14,0.75,$3.10,70.5,$800.94,$211.45,$315.79,,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"9,381",0
45,11/4/2024,11/10/2024,3.0,110.86,0.0,$3.07,71.8,$719.52,$31.94,$396.06,,"1,397",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"8,687",0
46,11/11/2024,11/17/2024,4.0,107.29,0.0,$3.05,71.8,$865.03,$0.00,$303.81,,"27,579",$0.00,$0.00,$0.00,$0.00,"$1,250.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$8,000.00","10,333",0
47,11/18/2024,11/24/2024,5.0,102.71,0.0,$3.05,71.8,$943.94,$0.00,$438.62,,"14,676",$0.00,$0.00,$0.00,$0.00,"$1,750.00",$0.00,$0.00,$0.00,$0.00,$750.00,$0.00,"7,464",0
48,11/25/2024,12/1/2024,4.0,98.86,1.0357,$3.04,71.8,$779.66,,$524.83,,"22,388",$0.00,$0.00,$0.00,$0.00,"$1,250.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"6,877",0
49,12/2/2024,12/8/2024,6.0,96.29,0.0,$3.03,74.0,$611.79,,$567,,"21,634",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"9,031",0
50,12/9/2024,12/15/2024,10.0,91.0,0.0,$3.01,74.0,$886.88,,$327.91,,"19,464",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"12,570",0
51,12/16/2024,12/22/2024,6.0,87.57,0.0,$3.02,74.0,$784.39,,$332.47,,"22,732",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$3,715.00","12,358",0
52,12/23/2024,12/29/2024,6.0,83.71,0.6429,$3.02,74.0,"$1,018.96",,$395.43,,"15,514",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$750.00,$0.00,"10,199",0
1,12/30/2024,1/5/2025,7.0,81.57,0.4643,$3.01,74.0,$695.61,,$509.07,,"16,406",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"8,400",0
2,1/6/2025,1/12/2025,6.0,78.57,0.0,$3.05,71.7,$692.50,,$586.06,,"14,303",$750.00,$0.00,$0.00,$0.00,$281.25,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"8,846",0
3,1/13/2025,1/19/2025,3.0,77.29,0.0,$3.04,71.7,$430.73,,$306.16,,"11,112","$1,750.00",$0.00,$0.00,$0.00,$656.25,$0.00,$188.46,$0.00,$188.46,$0.00,$0.00,"8,579",0
4,1/20/2025,1/26/2025,3.0,77.57,0.2143,$3.11,71.7,$80.54,,$20.62,,"11,149","$1,500.00",$0.00,$0.00,$0.00,$562.50,$0.00,$161.54,$0.00,$161.54,$0.00,$0.00,"10,413",0
5,1/27/2025,2/2/2025,6.0,76.29,0.8929,$3.10,71.7,$165.79,,$85.94,,"12,192",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$750.00,$0.00,"12,189",0
6,2/3/2025,2/9/2025,7.0,74.71,0.0,$3.08,64.7,$426.37,,$267.47,,"17,545",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"13,221",0
7,2/10/2025,2/16/2025,12.0,66.0,0.0,$3.13,64.7,$527.34,,$219.84,,"13,304","$1,473.68",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,000.00","13,260",0
8,2/17/2025,2/23/2025,2.0,65.57,0.0,$3.15,64.7,$296.22,,$496.35,,"15,742","$1,473.68",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,000.00","12,472",0
9,2/24/2025,3/2/2025,14.0,65.29,0.7143,$3.13,64.7,$479.72,,$231.51,,"26,462","$1,052.63",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$750.00,$0.00,"12,872",0
10,3/3/2025,3/9/2025,5.0,68.0,0.0,$3.08,57.0,$406.73,,$208.80,,"14,054",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"14,741",0
11,3/10/2025,3/16/2025,4.0,70.71,0.0,$3.07,57.0,$495.20,,$182.71,,"13,538","$1,272.73",$0.00,$0.00,$0.00,$0.00,$0.00,$125.00,$0.00,$125.00,$0.00,"$5,000.00","14,522",0
12,3/17/2025,3/23/2025,13.0,72.0,0.0,$3.06,57.0,$471.74,,$203.90,,"16,326","$1,272.73",$0.00,$0.00,$0.00,$0.00,$0.00,$175.00,$0.00,$175.00,$0.00,$0.00,"20,855",0
13,3/24/2025,3/30/2025,4.0,68.57,0.7857,$3.12,57.0,$602.06,,$122.59,,"18,808","$1,272.73",$0.00,$0.00,$0.00,$0.00,$0.00,$175.00,$0.00,$175.00,$750.00,$0.00,"14,328",0
14,3/31/2025,4/6/2025,7.0,69.29,0.2857,$3.16,57.0,$409.98,,$250.24,,"10,862",$181.82,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,$0.00,$25.00,$0.00,$0.00,"15,110",0
15,4/7/2025,4/13/2025,5.0,70.43,0.0,$3.24,52.2,$381.17,,$229.39,,"11,168",$888.89,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"13,862",0
16,4/14/2025,4/20/2025,7.0,69.43,0.0,$3.17,52.2,$500.15,,$192.89,,"17,367","$1,555.56",$0.00,$0.00,$0.00,$0.00,$0.00,$416.67,$0.00,$416.67,$0.00,$0.00,"14,108",0
17,4/21/2025,4/27/2025,6.0,70.71,0.3571,$3.14,52.2,$471.73,,$268.78,,"13,135","$1,555.56",$0.00,$0.00,$0.00,$0.00,$0.00,$583.33,$0.00,$583.33,$750.00,$0.00,"14,148",0
18,4/28/2025,5/4/2025,12.0,68.71,0.6071,$3.13,52.2,$382.40,,$341.02,,"7,565",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"12,462",0
19,5/5/2025,5/11/2025,2.0,63.86,0.0,$3.15,52.2,$242.14,,$371.29,,"16,277",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"9,289",0
20,5/12/2025,5/18/2025,8.0,57.14,0.0,$3.12,52.2,$307.10,,$337.18,,"9,091",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$777.78,$0.00,$777.78,$0.00,"$3,200.00","10,530",0
21,5/19/2025,5/25/2025,7.0,55.43,0.0,$3.17,52.2,$416.82,,$279.79,,"6,794",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$777.78,$0.00,$777.78,$750.00,$0.00,"8,138",0
22,5/26/2025,6/1/2025,6.0,52.57,1.0357,$3.16,52.2,$457.13,,$304.54,,"8,549",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$444.44,$0.00,$444.44,$0.00,$0.00,"11,192",0
23,6/2/2025,6/8/2025,7.0,51.71,0.0,$3.13,60.7,$461.53,,$238.07,,"8,636",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"9,612",0
24,6/9/2025,6/15/2025,6.0,56.0,0.0,$3.11,60.7,$603.52,,$145.03,,"15,040",$0.00,$0.00,$0.00,$0.00,$842.11,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"10,054",0
25,6/16/2025,6/22/2025,8.0,57.0,0.0,$3.14,60.7,$444.89,,$224.91,,"9,394",$0.00,$0.00,$0.00,$0.00,"$1,473.68",$0.00,$466.67,$0.00,$466.67,$0.00,"$2,980.00","13,202",0
26,6/23/2025,6/29/2025,10.0,58.57,0.6429,$3.21,60.7,$420.74,,$247.17,,"9,903",$0.00,$0.00,$0.00,$0.00,"$1,473.68",$0.00,$466.67,$0.00,$466.67,$750.00,$0.00,"14,288",0
27,6/30/2025,7/6/2025,11.0,54.0,0.2857,$3.16,60.7,$384.69,,$345.77,,"6,964",$0.00,$0.00,$0.00,$0.00,$210.53,$0.00,$66.67,$0.00,$66.67,$0.00,$0.00,"12,944",0
28,7/7/2025,7/13/2025,5.0,61.14,0.0,$3.13,61.7,$307.43,,$321.38,,"14,986",$0.00,$0.00,$0.00,$0.00,$666.67,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"14,522",0
29,7/14/2025,7/20/2025,4.0,67.14,0.0,$3.13,61.7,$452.06,,$187.06,,"7,682",$0.00,$0.00,$0.00,$0.00,"$1,555.56",$0.00,$466.67,$0.00,$466.67,$0.00,"$3,075.00","16,655",0
30,7/21/2025,7/27/2025,11.0,72.0,0.3571,$3.12,61.7,$462.04,,$201.70,,"10,204",$0.00,$0.00,$0.00,$0.00,"$1,555.56",$0.00,$466.67,$0.00,$466.67,$750.00,$0.00,"14,769",0
31,7/28/2025,8/3/2025,5.0,68.86,0.75,$3.12,61.7,$547.66,,$196.44,,"8,511",$0.00,$0.00,$0.00,$0.00,$222.22,$0.00,$66.67,$0.00,$66.67,$0.00,$0.00,"14,013",0
32,8/4/2025,8/10/2025,4.0,69.57,0.0,$3.14,58.2,$418.77,,$238.64,,"13,388",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"12,087",0
33,8/11/2025,8/17/2025,8.0,73.14,0.0,$3.12,58.2,$422.19,,$219.70,,"7,862",$0.00,$0.00,$0.00,$0.00,"$1,058.82",$0.00,$388.89,$0.00,$388.89,$0.00,"$3,800.00","13,550",0
34,8/18/2025,8/24/2025,5.0,77.86,0.0,$3.13,58.2,$481.47,,$204.01,,"8,631",$0.00,$0.00,$0.00,$0.00,"$1,235.29",$0.00,$388.89,$0.00,$388.89,$750.00,$0.00,"15,313",0
35,8/25/2025,8/31/2025,6.0,78.57,0.9643,$3.15,58.2,$462.93,,$144.52,,"8,976",$0.00,$0.00,$0.00,$0.00,$705.88,$0.00,$222.22,$0.00,$222.22,$0.00,$0.00,"10,805",0
36,9/1/2025,9/7/2025,3.0,77.71,0.0,$3.18,55.1,$387.06,,$250.01,,"8,558",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"12,316","1,471"
37,9/8/2025,9/14/2025,2.0,81.57,0.0,$3.19,55.1,$433.13,,$264.91,,"13,461",$0.00,$954.55,$0.00,$954.55,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"11,586","1,547"
38,9/15/2025,9/21/2025,12.0,85.57,0.0,$3.17,55.1,$464.92,,$260.07,,"8,397",$0.00,"$1,113.64",$0.00,"$1,113.64",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"12,446","1,879"
39,9/22/2025,9/28/2025,3.0,86.29,0.5,$3.17,55.1,$504.39,,$224.55,,"8,369",$0.00,"$1,113.64",$0.00,"$1,113.64",$0.00,$0.00,$0.00,$0.00,$0.00,$750.00,$0.00,"11,803","1,491"
40,9/29/2025,10/5/2025,5.0,87.86,0.4643,$3.12,55.1,$416.92,,$237.66,,"8,480",$0.00,$318.18,$0.00,$318.18,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"13,973","2,117"
41,10/6/2025,10/12/2025,5.0,98.43,0.0,$3.12,53.6,$395.39,,$199.03,,"13,537",$0.00,$714.29,$0.00,$714.29,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"12,505",933
42,10/13/2025,10/19/2025,6.0,106.14,0.0,$3.06,53.6,$529.75,,$112.79,,"7,782",$0.00,"$1,000.00",$0.00,"$1,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"12,772","1,198"
43,10/20/2025,10/26/2025,10.0,104.0,0.2143,$3.02,53.6,$575.78,,$103.86,,"12,367",$0.00,"$1,000.00",$0.00,"$1,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$750.00,$0.00,"13,098","1,075"
44,10/27/2025,11/2/2025,4.0,105.43,0.8929,$3.04,53.6,$665.42,,$81.50,,"9,257",$0.00,$285.71,$0.00,$285.71,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"11,814",865
